时间,合约代码,合约名称,买/卖,开/平,成交量,成交价,费用
2017-01-03 15:00:00, 601939.XSHG, 建设银行, 买, 开, 1000, 5.49, 5.0
2017-01-03 15:00:00, 601318.XSHG, 中国平安, 买, 开, 100, 35.68, 5.0
2017-01-03 15:00:00, 601668.XSHG, 中国建筑, 买, 开, 600, 8.87, 5.0
2017-01-03 15:00:00, 601800.XSHG, 中国交建, 买, 开, 300, 15.29, 5.0
2017-01-03 15:00:00, 000002.XSHE, 万科A, 买, 开, 200, 20.73, 5.0
2017-01-03 15:00:00, 601186.XSHG, 中国铁建, 买, 开, 400, 12.0, 5.0
2017-01-03 15:00:00, 000651.XSHE, 格力电器, 买, 开, 200, 25.06, 5.0
2017-01-03 15:00:00, 002252.XSHE, 上海莱士, 买, 开, 200, 23.17, 5.0
2017-01-03 15:00:00, 601633.XSHG, 长城汽车, 买, 开, 500, 10.99, 5.0
2017-01-04 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 1000, 5.49, 7.745
2017-01-04 15:00:00, 601318.XSHG, 中国平安, 卖, 平, 100, 35.65, 6.7825
2017-01-04 15:00:00, 000651.XSHE, 格力电器, 卖, 平, 200, 25.14, 7.514
2017-01-04 15:00:00, 601633.XSHG, 长城汽车, 卖, 平, 500, 11.0, 7.75
2017-01-04 15:00:00, 601939.XSHG, 建设银行, 买, 开, 1300, 5.49, 5.7096
2017-01-04 15:00:00, 601318.XSHG, 中国平安, 买, 开, 200, 35.65, 5.704
2017-01-04 15:00:00, 002252.XSHE, 上海莱士, 买, 开, 100, 23.03, 5.0
2017-01-04 15:00:00, 601633.XSHG, 长城汽车, 买, 开, 600, 11.0, 5.28
2017-01-04 15:00:00, 002797.XSHE, 第一创业, 买, 开, 200, 35.1, 5.616
2017-01-05 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 1300, 5.49, 9.2781
2017-01-05 15:00:00, 601318.XSHG, 中国平安, 卖, 平, 200, 35.73, 9.2898
2017-01-05 15:00:00, 601633.XSHG, 长城汽车, 卖, 平, 600, 10.9, 8.502
2017-01-05 15:00:00, 002797.XSHE, 第一创业, 卖, 平, 200, 34.57, 8.9882
2017-01-05 15:00:00, 601939.XSHG, 建设银行, 买, 开, 1200, 5.49, 5.2704
2017-01-05 15:00:00, 601318.XSHG, 中国平安, 买, 开, 100, 35.73, 5.0
2017-01-05 15:00:00, 601669.XSHG, 中国电建, 买, 开, 900, 7.21, 5.1912
2017-01-06 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 1200, 5.46, 8.5176
