时间,合约代码,合约名称,最新价,多/空,仓位,开仓均价,市值,累计盈亏,保证金,费用
2017-01-03 15:30:00, 601939.XSHG, 建设银行, 5.49, --, 1000, 5.49, 5490.0, 0, --, 5.0
2017-01-03 15:30:00, 601318.XSHG, 中国平安, 35.68, --, 100, 35.68, 3568.0, 0, --, 5.0
2017-01-03 15:30:00, 601668.XSHG, 中国建筑, 8.87, --, 600, 8.87, 5322.0, 0, --, 5.0
2017-01-03 15:30:00, 601800.XSHG, 中国交建, 15.29, --, 300, 15.29, 4587.0, 0, --, 5.0
2017-01-03 15:30:00, 000002.XSHE, 万科A, 20.73, --, 200, 20.73, 4146.0, 0, --, 5.0
2017-01-03 15:30:00, 601186.XSHG, 中国铁建, 12.0, --, 400, 12.0, 4800.0, 0, --, 5.0
2017-01-03 15:30:00, 000651.XSHE, 格力电器, 25.06, --, 200, 25.06, 5012.0, 0, --, 5.0
2017-01-03 15:30:00, 002252.XSHE, 上海莱士, 23.17, --, 200, 23.17, 4634.0, 0, --, 5.0
2017-01-03 15:30:00, 601633.XSHG, 长城汽车, 10.99, --, 500, 10.99, 5495.0, 0, --, 5.0
2017-01-04 15:30:00, 601939.XSHG, 建设银行, 5.49, --, 1300, 5.49, 7137.0, 0, --, 13.4546
2017-01-04 15:30:00, 601318.XSHG, 中国平安, 35.65, --, 200, 35.65, 7130.0, 0, --, 12.4865
2017-01-04 15:30:00, 601668.XSHG, 中国建筑, 8.97, --, 600, 8.87, 5382.0, 60.0, --, 0
2017-01-04 15:30:00, 601800.XSHG, 中国交建, 15.45, --, 300, 15.29, 4635.0, 48.0, --, 0
2017-01-04 15:30:00, 000002.XSHE, 万科A, 20.85, --, 200, 20.73, 4170.0, 24.0, --, 0
2017-01-04 15:30:00, 601186.XSHG, 中国铁建, 12.21, --, 400, 12.0, 4884.0, 84.0, --, 0
2017-01-04 15:30:00, 002252.XSHE, 上海莱士, 23.03, --, 300, 23.1233, 6909.0, -28.0, --, 5.0
2017-01-04 15:30:00, 601633.XSHG, 长城汽车, 11.0, --, 600, 11.0, 6600.0, 0, --, 13.03
2017-01-04 15:30:00, 002797.XSHE, 第一创业, 35.1, --, 200, 35.1, 7020.0, 0, --, 5.616
2017-01-05 15:30:00, 601939.XSHG, 建设银行, 5.49, --, 1200, 5.49, 6588.0, 0, --, 14.5485
2017-01-05 15:30:00, 601318.XSHG, 中国平安, 35.73, --, 100, 35.73, 3573.0, 0, --, 14.2898
2017-01-05 15:30:00, 601668.XSHG, 中国建筑, 8.93, --, 600, 8.87, 5358.0, 36.0, --, 0
2017-01-05 15:30:00, 601800.XSHG, 中国交建, 15.42, --, 300, 15.29, 4626.0, 39.0, --, 0
2017-01-05 15:30:00, 000002.XSHE, 万科A, 20.93, --, 200, 20.73, 4186.0, 40.0, --, 0
2017-01-05 15:30:00, 601186.XSHG, 中国铁建, 12.14, --, 400, 12.0, 4856.0, 56.0, --, 0
2017-01-05 15:30:00, 002252.XSHE, 上海莱士, 22.83, --, 300, 23.1233, 6849.0, -88.0, --, 0
2017-01-05 15:30:00, 601669.XSHG, 中国电建, 7.21, --, 900, 7.21, 6489.0, 0, --, 5.1912
2017-01-06 15:30:00, 601939.XSHG, 建设银行, 5.46, --, 1200, 5.46, 6552.0, 0, --, 13.7592
2017-01-06 15:30:00, 601318.XSHG, 中国平安, 35.44, --, 100, 35.44, 3544.0, 0, --, 11.772
2017-01-06 15:30:00, 601668.XSHG, 中国建筑, 8.88, --, 700, 8.8714, 6216.0, 6.0, --, 5.0
2017-01-06 15:30:00, 601800.XSHG, 中国交建, 15.61, --, 300, 15.29, 4683.0, 96.0, --, 0
2017-01-06 15:30:00, 000002.XSHE, 万科A, 20.64, --, 200, 20.73, 4128.0, -18.0, --, 0
2017-01-06 15:30:00, 601186.XSHG, 中国铁建, 12.07, --, 400, 12.0, 4828.0, 28.0, --, 0
2017-01-06 15:30:00, 002252.XSHE, 上海莱士, 22.71, --, 300, 23.1233, 6813.0, -124.0, --, 0
2017-01-06 15:30:00, 601669.XSHG, 中国电建, 7.13, --, 900, 7.21, 6417.0, -72.0, --, 0
2017-01-09 15:30:00, 601939.XSHG, 建设银行, 5.47, --, 1400, 5.4614, 7658.0, 12.0, --, 5.0
2017-01-09 15:30:00, 601318.XSHG, 中国平安, 35.42, --, 200, 35.43, 7084.0, -2.0, --, 5.0
2017-01-09 15:30:00, 601668.XSHG, 中国建筑, 8.95, --, 700, 8.8714, 6265.0, 55.0, --, 0
2017-01-09 15:30:00, 601800.XSHG, 中国交建, 15.75, --, 300, 15.29, 4725.0, 138.0, --, 0
2017-01-09 15:30:00, 000002.XSHE, 万科A, 20.66, --, 200, 20.73, 4132.0, -14.0, --, 0
