日期,账户类型,可用资金,总权益,市值,保证金,费用
2017-01-03 15:30:00, 股票, 16901.0, 59955.0, 43054.0, --, 45.0
2017-01-04 15:30:00, 股票, 6236.8989, 60103.8989, 53867.0, --, 57.1011
2017-01-05 15:30:00, 股票, 17272.3792, 59797.3792, 42525.0, --, 51.5197
2017-01-06 15:30:00, 股票, 16353.848, 59534.848, 43181.0, --, 30.5312
2017-01-09 15:30:00, 股票, 11707.848, 59689.848, 47982.0, --, 10.0
2017-01-10 15:30:00, 股票, 7862.9195, 59271.9195, 51409.0, --, 23.9285
2017-01-11 15:30:00, 股票, 6539.1213, 59129.1213, 52590.0, --, 18.7982
2017-01-12 15:30:00, 股票, 13032.3127, 59085.3127, 46053.0, --, 26.8086
2017-01-13 15:30:00, 股票, 13265.7122, 59543.7122, 46278.0, --, 17.6005
2017-01-16 15:30:00, 股票, 7174.8968, 59919.8968, 52745.0, --, 23.8154
2017-01-17 15:30:00, 股票, 13840.1608, 59807.1608, 45967.0, --, 38.736
2017-01-18 15:30:00, 股票, 12747.1608, 59843.1608, 47096.0, --, 10.0
2017-01-19 15:30:00, 股票, 7009.9343, 59683.9343, 52674.0, --, 10.2265
2017-01-20 15:30:00, 股票, 6552.9343, 59695.9343, 53143.0, --, 5.0
2017-01-23 15:30:00, 股票, 6552.9343, 59770.9343, 53218.0, --, 0
2017-01-24 15:30:00, 股票, 2929.9343, 60325.9343, 57396.0, --, 5.0
2017-01-25 15:30:00, 股票, 2929.9343, 60386.9343, 57457.0, --, 0
2017-01-26 15:30:00, 股票, 2929.9343, 60585.9343, 57656.0, --, 0
2017-02-03 15:30:00, 股票, 2929.9343, 60082.9343, 57153.0, --, 0
2017-02-06 15:30:00, 股票, 2918.1373, 60082.1373, 57164.0, --, 11.797
2017-02-07 15:30:00, 股票, 2918.1373, 59880.1373, 56962.0, --, 0
2017-02-08 15:30:00, 股票, 6232.2123, 59840.2123, 53608.0, --, 12.925
2017-02-09 15:30:00, 股票, 9046.2533, 60031.2533, 50985.0, --, 15.959
2017-02-10 15:30:00, 股票, 9033.1543, 60319.1543, 51286.0, --, 13.099
2017-02-13 15:30:00, 股票, 6951.1543, 60607.1543, 53656.0, --, 5.0
2017-02-14 15:30:00, 股票, 7280.2403, 60545.2403, 53265.0, --, 21.914
2017-02-15 15:30:00, 股票, 1959.2403, 61053.2403, 59094.0, --, 5.0
2017-02-16 15:30:00, 股票, 1959.2403, 60964.2403, 59005.0, --, 0
2017-02-17 15:30:00, 股票, 1959.2403, 60524.2403, 58565.0, --, 0
2017-02-20 15:30:00, 股票, 7486.4703, 61091.4703, 53605.0, --, 12.77
2017-02-21 15:30:00, 股票, 6887.4703, 61185.4703, 54298.0, --, 5.0
2017-02-22 15:30:00, 股票, 6887.4703, 61244.4703, 54357.0, --, 0
2017-02-23 15:30:00, 股票, 1104.4703, 61067.4703, 59963.0, --, 5.0
2017-02-24 15:30:00, 股票, 1104.4703, 60791.4703, 59687.0, --, 0
2017-02-27 15:30:00, 股票, 6799.6163, 60287.6163, 53488.0, --, 12.854
2017-02-28 15:30:00, 股票, 13926.0438, 60295.0438, 46369.0, --, 18.5725
2017-03-01 15:30:00, 股票, 12517.0438, 60293.0438, 47776.0, --, 5.0
2017-03-02 15:30:00, 股票, 12517.0438, 60188.0438, 47671.0, --, 0
2017-03-03 15:30:00, 股票, 18686.9498, 60035.9498, 41349.0, --, 18.094
2017-03-06 15:30:00, 股票, 13749.6098, 59979.6098, 46230.0, --, 23.34
2017-03-07 15:30:00, 股票, 8233.5678, 60189.5678, 51956.0, --, 23.042
2017-03-08 15:30:00, 股票, 2102.0478, 60139.0478, 58037.0, --, 17.52
2017-03-09 15:30:00, 股票, 7666.2618, 59806.2618, 52140.0, --, 7.786
2017-03-10 15:30:00, 股票, 6559.2618, 59862.2618, 53303.0, --, 5.0
2017-03-13 15:30:00, 股票, 485.2618, 60303.2618, 59818.0, --, 5.0
2017-03-14 15:30:00, 股票, 6333.3338, 60352.3338, 54019.0, --, 7.928
2017-03-15 15:30:00, 股票, 14503.8928, 60406.8928, 45903.0, --, 21.441
2017-03-16 15:30:00, 股票, 12371.8928, 60552.8928, 48181.0, --, 5.0
2017-03-17 15:30:00, 股票, 15156.8233, 60227.8233, 45071.0, --, 13.0695
2017-03-20 15:30:00, 股票, 15156.8233, 60268.8233, 45112.0, --, 0
2017-03-21 15:30:00, 股票, 1056.4481, 60528.4481, 59472.0, --, 23.3752
2017-03-22 15:30:00, 股票, 6637.3611, 60410.3611, 53773.0, --, 13.087
2017-03-23 15:30:00, 股票, 6637.3611, 60703.3611, 54066.0, --, 0
2017-03-24 15:30:00, 股票, 504.3611, 61215.3611, 60711.0, --, 5.0
2017-03-27 15:30:00, 股票, 6721.3261, 61005.3261, 54284.0, --, 21.035
2017-03-28 15:30:00, 股票, 7903.9781, 60807.9781, 52904.0, --, 18.348
2017-03-29 15:30:00, 股票, 12476.0061, 60761.0061, 48285.0, --, 17.972
2017-03-30 15:30:00, 股票, 2824.0061, 60378.0061, 57554.0, --, 10.0
2017-03-31 15:30:00, 股票, 2824.0061, 60728.0061, 57904.0, --, 0
2017-04-05 15:30:00, 股票, 2824.0061, 61047.0061, 58223.0, --, 0
2017-04-06 15:30:00, 股票, 2824.0061, 61163.0061, 58339.0, --, 0
2017-04-07 15:30:00, 股票, 6541.1416, 61342.1416, 54801.0, --, 11.8645
2017-04-10 15:30:00, 股票, 257.1184, 61060.1184, 60803.0, --, 5.0232
2017-04-11 15:30:00, 股票, 257.1184, 60874.1184, 60617.0, --, 0
2017-04-12 15:30:00, 股票, 2573.0188, 61165.0188, 58592.0, --, 39.0996
