股票代码,股票名称,日期,K,D,J
600000,浦发银行,2026-03-04,18.31,17.16,20.6
600004,白云机场,2026-03-04,8.63,14.67,-3.44
600006,东风股份,2026-03-04,43.34,44.32,41.38
600007,中国国贸,2026-03-04,14.72,28.29,-12.41
600008,首创环保,2026-03-04,71.56,67.24,80.21
600009,上海机场,2026-03-04,7.23,17.62,-13.55
600010,包钢股份,2026-03-04,72.04,78.82,58.47
600011,华能国际,2026-03-04,74.53,70.41,82.79
600012,皖通高速,2026-03-04,63.8,49.92,91.56
600015,华夏银行,2026-03-04,69.88,71.25,67.15
600016,民生银行,2026-03-04,34.53,44.99,13.62
600017,日照港,2026-03-04,68.35,66.3,72.45
600018,上港集团,2026-03-04,52.65,60.81,36.34
600019,宝钢股份,2026-03-04,52.99,49.48,60.0
600020,中原高速,2026-03-04,45.61,51.53,33.78
600021,上海电力,2026-03-04,51.77,55.44,44.43
600022,山东钢铁,2026-03-04,60.14,64.03,52.36
600023,浙能电力,2026-03-04,87.69,85.5,92.07
600025,华能水电,2026-03-04,91.08,84.44,104.37
600026,中远海能,2026-03-04,91.22,89.99,93.7
600027,华电国际,2026-03-04,75.82,72.53,82.4
600028,中国石化,2026-03-04,71.61,68.25,78.32
600029,南方航空,2026-03-04,8.88,17.08,-7.52
600030,中信证券,2026-03-04,11.14,19.34,-5.25
600031,三一重工,2026-03-04,20.42,36.68,-12.11
600032,浙江新能,2026-03-04,80.92,74.74,93.3
600033,福建高速,2026-03-04,47.57,42.12,58.45
600035,楚天高速,2026-03-04,57.65,66.98,39.0
600036,招商银行,2026-03-04,38.7,36.54,43.03
600037,歌华有线,2026-03-04,12.1,20.44,-4.59
600038,中直股份,2026-03-04,48.0,62.67,18.66
600039,四川路桥,2026-03-04,72.67,62.17,93.65
600048,保利发展,2026-03-04,14.19,20.27,2.04
600050,中国联通,2026-03-04,53.37,56.69,46.73
600051,宁波联合,2026-03-04,22.71,40.92,-13.72
600052,东望时代,2026-03-04,9.1,15.55,-3.8
600053,九鼎投资,2026-03-04,7.78,7.39,8.56
600054,黄山旅游,2026-03-04,16.44,16.51,16.3
600055,万东医疗,2026-03-04,8.87,15.16,-3.7
600056,中国医药,2026-03-04,19.4,23.38,11.43
600057,厦门象屿,2026-03-04,64.49,73.99,45.48
600058,五矿发展,2026-03-04,35.44,45.39,15.54
600059,古越龙山,2026-03-04,9.67,17.77,-6.52
600060,海信视像,2026-03-04,9.45,12.16,4.03
600061,国投资本,2026-03-04,12.73,20.45,-2.71
600062,华润双鹤,2026-03-04,18.22,24.16,6.33
600063,皖维高新,2026-03-04,36.08,53.36,1.52
600064,南京高科,2026-03-04,22.76,36.98,-5.69
600066,宇通客车,2026-03-04,18.2,30.69,-6.77
600067,冠城新材,2026-03-04,29.26,36.88,14.01
600071,凤凰光学,2026-03-04,25.91,42.55,-7.37
600072,中船科技,2026-03-04,55.51,64.93,36.67
600073,光明肉业,2026-03-04,44.56,55.12,23.42
600075,新疆天业,2026-03-04,57.77,67.56,38.18
600076,康欣新材,2026-03-04,14.68,25.63,-7.23
600078,澄星股份,2026-03-04,49.67,56.26,36.48
600080,金花股份,2026-03-04,57.69,67.96,37.15
600081,东风科技,2026-03-04,25.27,40.25,-4.68
600082,海泰发展,2026-03-04,22.27,37.13,-7.46
600084,中信尼雅,2026-03-04,46.16,31.9,74.66
600085,同仁堂,2026-03-04,12.58,18.31,1.12
600088,中视传媒,2026-03-04,4.26,10.84,-8.91
600089,特变电工,2026-03-04,70.47,73.41,64.6
600094,大名城,2026-03-04,14.49,19.82,3.84
600095,湘财股份,2026-03-04,11.29,13.36,7.15
600096,云天化,2026-03-04,68.36,73.14,58.79
600097,开创国际,2026-03-04,20.67,33.85,-5.71
600098,广州发展,2026-03-04,80.17,77.82,84.89
600099,林海股份,2026-03-04,29.74,45.84,-2.46
600100,同方股份,2026-03-04,31.37,49.42,-4.73
600101,明星电力,2026-03-04,77.89,78.36,76.94
600103,青山纸业,2026-03-04,25.7,43.05,-9.0
600104,上汽集团,2026-03-04,14.88,28.47,-12.31
600105,永鼎股份,2026-03-04,44.85,58.09,18.38
600106,重庆路桥,2026-03-04,20.66,30.03,1.91
600108,亚盛集团,2026-03-04,90.44,74.49,122.34
600109,国金证券,2026-03-04,9.04,15.44,-3.75
600110,诺德股份,2026-03-04,70.66,75.3,61.39
600111,北方稀土,2026-03-04,51.37,67.44,19.22
600113,浙江东日,2026-03-04,17.72,20.58,11.98
600114,东睦股份,2026-03-04,37.6,56.67,-0.53
600115,中国东航,2026-03-04,14.34,23.45,-3.9
600116,三峡水利,2026-03-04,73.8,70.82,79.77
600117,西宁特钢,2026-03-04,58.68,62.99,50.07
600118,中国卫星,2026-03-04,54.09,48.01,66.25
600119,长江投资,2026-03-04,13.56,24.52,-8.38
600120,浙江东方,2026-03-04,22.74,37.56,-6.9
600121,郑州煤电,2026-03-04,71.48,69.14,76.16
600123,兰花科创,2026-03-04,77.6,71.73,89.34
600125,铁龙物流,2026-03-04,61.4,59.34,65.53
600126,杭钢股份,2026-03-04,54.24,62.2,38.33
600127,金健米业,2026-03-04,67.32,55.1,91.77
600128,苏豪弘业,2026-03-04,18.31,32.45,-9.97
600129,太极集团,2026-03-04,8.23,12.43,-0.18
600131,国网信通,2026-03-04,46.74,49.95,40.32
600132,重庆啤酒,2026-03-04,67.14,60.67,80.08
600133,东湖高新,2026-03-04,12.57,17.51,2.68
600135,乐凯胶片,2026-03-04,13.8,16.01,9.4
600137,浪莎股份,2026-03-04,19.86,33.24,-6.91
600138,中青旅,2026-03-04,12.68,19.1,-0.17
600141,兴发集团,2026-03-04,42.01,54.74,16.56
600143,金发科技,2026-03-04,25.84,42.13,-6.73
600148,长春一东,2026-03-04,23.92,40.39,-9.02
600149,廊坊发展,2026-03-04,67.71,59.21,84.72
600150,中国船舶,2026-03-04,84.28,83.66,85.53
600151,航天机电,2026-03-04,28.26,30.98,22.82
600152,维科技术,2026-03-04,78.73,75.94,84.3
600153,建发股份,2026-03-04,57.84,68.92,35.68
